Species,Shape,Height,Diameter1,Diameter2
Pinus radiata,2,29,0.551,0.563
Pinus radiata,2,28.5,0.467,0.472
Pinus radiata,2,30.5,0.457,0.47
Pinus radiata,2,34,0.554,0.56
Pinus radiata,2,22,0.457,0.444
Pinus radiata,2,32,0.454,0.479
Pinus radiata,2,27.5,0.476,0.5
Pinus radiata,2,30,0.46,0.452
Pinus radiata,2,26,0.365,0.36
Pinus radiata,2,28,0.498,0.478
Pinus radiata,2,20,0.402,0.384
Pinus radiata,2,23.5,0.46,0.448
Pinus radiata,2,18.5,0.4,0.388
Pinus radiata,2,25,0.493,0.492
Pinus radiata,2,21,0.44,0.434
Pinus radiata,2,31,0.436,0.453
Pinus radiata,2,25,0.469,0.496
Castanea sativa,2,10,0.247,0.247
Castanea sativa,6,9,0.968,0.968
Quercus ilex ,2,14.5,0.259,0.249
Fraxinus angustifolia,2,16,0.153,0.165
Quercus ilex ,4,8,0.157,0.166
Castanea sativa,2,10.5,0.241,0.253
Castanea sativa,2,9,0.234,0.223
Prunus spp.,2,8.5,0.237,0.227
Castanea sativa,6,14,0.764,0.764
Castanea sativa,5,7.5,0.923,0.923
Castanea sativa,2,9,0.158,0.151
Prunus spp.,2,10,0.357,0.327
Castanea sativa,4,9,0.859,0.859
Quercus ilex ,2,20,0.484,0.479
Quercus ilex ,2,13,0.298,0.31
Castanea sativa,5,6.5,0.828,0.828
Fraxinus angustifolia,2,13,0.173,0.195
Castanea sativa,4,8.5,0.286,0.293
Fraxinus angustifolia,2,16.5,0.229,0.223
Quercus robur,2,15,0.222,0.202
Castanea sativa,5,9,0.866,0.866
Castanea sativa,2,10.5,0.458,0.467
Quercus ilex ,2,8.5,0.165,0.145
Castanea sativa,4,11.5,0.317,0.315
Quercus ilex ,2,11,0.27,0.297
Castanea sativa,3,6.5,0.084,0.086
Castanea sativa,3,10,0.136,0.123
Castanea sativa,5,13,0.907,0.907
Quercus ilex ,4,11,0.275,0.229
Castanea sativa,4,13.5,0.738,0.738
Pinus radiata,1,34,0.582,0.622
Pinus radiata,2,29,0.368,0.381
Quercus robur,3,5,0.078,0.087
Pinus radiata,1,33.5,0.451,0.481
Pinus radiata,2,35.5,0.441,0.482
Quercus robur,2,9,0.151,0.146
Fraxinus angustifolia,2,10.5,0.108,0.108
Pinus radiata,2,33,0.5,0.457
Pinus radiata,2,29,0.445,0.453
Pinus radiata,2,27,0.319,0.296
Pinus radiata,2,32,0.485,0.472
Quercus robur,2,9.5,0.178,0.159
Pinus radiata,2,29,0.443,0.435
Pinus radiata,1,31,0.475,0.471
Pinus radiata,2,30,0.467,0.456
Pinus radiata,2,28,0.334,0.323
Pinus radiata,2,28,0.44,0.471
Pinus radiata,2,31.5,0.476,0.497
Pinus radiata,2,32,0.497,0.532
Pinus radiata,2,27,0.313,0.318
Pinus radiata,2,26.5,0.444,0.459
Pinus radiata,2,28.5,0.589,0.585
Pinus radiata,2,30,0.427,0.399
Pinus radiata,2,33.5,0.524,0.489
Pinus radiata,2,33.5,0.596,0.563
Pinus radiata,2,31,0.451,0.432
Pinus radiata,2,33,0.464,0.445
Pinus radiata,2,30,0.488,0.491
Pinus radiata,2,11,0.163,0.175
Pinus radiata,2,28.5,0.433,0.437
Pinus radiata,2,24.5,0.244,0.257
Pinus radiata,2,11,0.222,0.215
Pinus radiata,2,30,0.458,0.472
Pinus radiata,2,7,0.238,0.216
Pinus radiata,2,26.5,0.457,0.466
Pinus radiata,2,34.5,0.485,0.504
Pinus radiata,2,17,0.392,0.346
Pinus radiata,2,13.5,0.274,0.256
Pinus radiata,2,15.5,0.179,0.182
Pinus radiata,2,25.5,0.248,0.266
Pinus radiata,3,9,0.143,0.141
Pinus radiata,5,11.5,0.208,0.196
Pinus radiata,2,25,0.344,0.323
Pinus radiata,2,18.5,0.251,0.232
Arbutus unedo ,5,3.5,0.056,0.094
Pinus radiata,2,21,0.292,0.277
Pinus radiata,2,21,0.259,0.255
Pinus radiata,2,20,0.218,0.207
Pinus radiata,2,23,0.268,0.281
Pinus radiata,2,12,0.168,0.194
Pinus radiata,2,26,0.428,0.425
Pinus radiata,3,9,0.106,0.123
Pinus radiata,2,27.5,0.297,0.314
Pinus radiata,2,33,0.391,0.414
Pinus radiata,2,23.5,0.371,0.422
Pinus radiata,2,12,0.136,0.14
Pinus radiata,2,30.5,0.232,0.238
Pinus radiata,2,32,0.283,0.29
Pinus radiata,2,26,0.329,0.34
Quercus robur,2,11,0.128,0.137
Pinus radiata,2,34,0.473,0.45
Pinus radiata,2,23,0.327,0.289
Fraxinus angustifolia,3,14,0.096,0.089
Pinus radiata,2,16,0.288,0.282
Pinus radiata,2,8.5,0.227,0.214
Pinus radiata,2,24.5,0.272,0.248
Pinus radiata,2,18,0.273,0.246
Quercus pyrenaica,2,12,0.298,0.271
Quercus pyrenaica,3,6,0.133,0.12
Quercus pyrenaica,2,14.5,0.389,0.378
Pinus radiata,2,12.5,0.236,0.276
Quercus robur,2,11.5,0.247,0.259
Pinus radiata,2,11,0.313,0.322
Quercus robur,2,10.5,0.245,0.238
Quercus robur,2,12,0.292,0.276
Quercus robur,2,7,0.18,0.195
Quercus robur,3,8.5,0.177,0.189
Quercus pyrenaica,4,8,0.195,0.2
Quercus pyrenaica,4,10,0.263,0.212
Pinus radiata,2,24,0.478,0.436
Pinus radiata,2,33,0.498,0.481
