Species,Shape,Height,Diameter1,Diameter2
Quercus pyrenaica,2,13.5,0.213,0.214
Quercus pyrenaica,2,9.5,0.193,0.183
Quercus pyrenaica,2,12.5,0.257,0.236
Quercus pyrenaica,2,12,0.23,0.24
Quercus pyrenaica,2,12,0.243,0.228
Quercus pyrenaica,2,10,0.222,0.248
Quercus pyrenaica,2,11,0.22,0.22
Quercus pyrenaica,2,10.5,0.19,0.181
Quercus pyrenaica,2,10.5,0.147,0.176
Quercus pyrenaica,2,12,0.165,0.182
Quercus pyrenaica,2,14,0.249,0.243
Quercus pyrenaica,2,11.5,0.218,0.18
Quercus pyrenaica,2,18,0.215,0.21
Quercus pyrenaica,2,19,0.298,0.287
Quercus pyrenaica,2,18,0.267,0.27
Quercus pyrenaica,2,16,0.263,0.307
Quercus pyrenaica,2,8.5,0.188,0.18
Quercus pyrenaica,2,15,0.267,0.335
Quercus pyrenaica,3,8,0.144,0.143
Quercus pyrenaica,2,12,0.254,0.25
Quercus pyrenaica,2,16,0.246,0.246
Quercus pyrenaica,2,15,0.323,0.335
Quercus pyrenaica,2,15,0.25,0.255
Quercus pyrenaica,2,15,0.238,0.225
Quercus pyrenaica,2,8.5,0.189,0.198
Quercus pyrenaica,5,7,0.155,0.157
Quercus pyrenaica,5,4,0.082,0.085
Quercus pyrenaica,2,17,0.299,0.304
Quercus pyrenaica,2,11,0.218,0.221
Quercus pyrenaica,2,14,0.273,0.275
Quercus pyrenaica,2,15,0.229,0.215
Quercus pyrenaica,4,4.5,0.178,0.171
Quercus pyrenaica,2,15,0.283,0.296
Quercus pyrenaica,2,16,0.277,0.309
Quercus pyrenaica,2,12,0.215,0.23
Quercus pyrenaica,2,14,0.187,0.21
Quercus pyrenaica,2,14,0.138,0.157
Quercus pyrenaica,2,16.5,0.288,0.237
Quercus pyrenaica,2,17,0.301,0.3
Quercus pyrenaica,2,17,0.367,0.337
Quercus pyrenaica,4,10,0.185,0.184
Quercus pyrenaica,2,15,0.234,0.219
Quercus pyrenaica,2,18,0.304,0.295
Quercus pyrenaica,2,11,0.201,0.217
Quercus pyrenaica,2,12,0.182,0.197
Quercus pyrenaica,2,12,0.144,0.146
Quercus pyrenaica,5,7,0.104,0.097
Quercus pyrenaica,5,9,0.095,0.097
Quercus pyrenaica,2,14,0.498,0.575
Quercus pyrenaica,2,9.5,0.225,0.198
Pinus sylvestris,2,18,0.264,0.265
Quercus robur,2,18,0.258,0.244
Alnus glutinosa,5,10,0.147,0.151
Pinus nigra,2,17,0.282,0.273
Pinus nigra,2,18,0.324,0.333
Quercus robur,4,13,0.233,0.221
Pinus nigra,2,18,0.294,0.284
Pinus nigra,2,18,0.311,0.318
Alnus glutinosa,3,5,0.085,0.094
Quercus robur,3,6,0.113,0.12
Pinus nigra,2,19,0.296,0.287
Quercus robur,3,7.5,0.097,0.109
Quercus robur,3,7.5,0.092,0.114
Quercus robur,2,16,0.174,0.192
Pinus nigra,2,17,0.22,0.23
Pinus nigra,2,18,0.292,0.292
Pinus nigra,2,15,0.302,0.316
Pinus sylvestris,2,13,0.158,0.148
Pinus sylvestris,2,20,0.373,0.362
Quercus robur,5,10,0.155,0.147
Pinus sylvestris,2,15,0.184,0.195
Pinus sylvestris,2,18,0.304,0.31
Pinus sylvestris,2,18,0.308,0.294
Pinus sylvestris,2,16,0.206,0.215
Pinus sylvestris,2,12,0.179,0.186
Pinus sylvestris,2,13,0.211,0.195
Pinus sylvestris,2,13,0.19,0.186
Quercus robur,4,11,0.134,0.143
Pinus sylvestris,2,16,0.265,0.273
Pinus sylvestris,2,13,0.139,0.15
Pinus sylvestris,2,18,0.223,0.234
Pinus sylvestris,2,17,0.27,0.262
Pinus sylvestris,2,15,0.227,0.231
Pinus radiata,2,18,0.287,0.299
Pinus radiata,2,18,0.289,0.292
Castanea sativa,4,14,0.504,0.504
Castanea sativa,4,17,0.627,0.653
Castanea sativa,4,12,0.373,0.447
Castanea sativa,4,14,0.464,0.513
Castanea sativa,4,18,0.489,0.545
Castanea sativa,4,23,0.584,0.557
Castanea sativa,4,13,0.465,0.469
Castanea sativa,2,20,0.828,0.828
Castanea sativa,4,15,0.616,0.638
Quercus robur,2,17,0.45,0.545
Quercus robur,2,15,0.314,0.316
Castanea sativa,2,14,0.449,0.421
Castanea sativa,4,16,0.553,0.602
Castanea sativa,4,15,0.651,0.653
Castanea sativa,2,17,0.587,0.603
Castanea sativa,2,18,0.546,0.554
Castanea sativa,2,17,0.402,0.408
Castanea sativa,2,17,0.477,0.512
Castanea sativa,2,17,0.43,0.521
Castanea sativa,4,15,0.579,0.602
Castanea sativa,2,18,0.7,0.7
Pinus nigra,2,9,0.141,0.138
Pinus nigra,2,10.5,0.179,0.177
Pinus nigra,2,11.5,0.235,0.232
Pinus nigra,2,14,0.282,0.29
Pinus nigra,2,13,0.198,0.206
Pinus nigra,2,12,0.241,0.23
Pinus nigra,2,12.5,0.298,0.297
Pinus nigra,2,12,0.182,0.176
Pinus nigra,2,12.5,0.283,0.292
Pinus nigra,2,10,0.218,0.215
Pinus nigra,2,11,0.244,0.243
Pinus nigra,3,8.5,0.091,0.085
Pinus nigra,2,13,0.234,0.232
Pinus nigra,2,10,0.179,0.176
Pinus nigra,2,10,0.226,0.227
Pinus nigra,2,10,0.223,0.22
Pinus nigra,2,10,0.227,0.23
Pinus nigra,2,10,0.235,0.238
Pinus nigra,2,10,0.239,0.235
Pinus nigra,2,10,0.129,0.134
Pinus nigra,2,9,0.168,0.169
Pinus nigra,2,10,0.151,0.155
Pinus nigra,2,7.5,0.154,0.154
Pinus nigra,2,10,0.23,0.235
Pinus nigra,2,10,0.237,0.239
Quercus pyrenaica,4,19,0.602,0.609
Quercus pyrenaica,4,17,0.546,0.555
Quercus pyrenaica,5,18.5,0.619,0.513
Quercus pyrenaica,4,18,0.694,0.694
Quercus pyrenaica,4,20,0.834,0.834
Quercus pyrenaica,4,17,0.815,0.815
Fagus sylvatica,4,22,1.082,1.082
Quercus pyrenaica,4,19,0.509,0.47
Fagus sylvatica,5,18,0.457,0.453
Quercus pyrenaica,4,17.5,0.537,0.475
Fagus sylvatica,5,18.5,0.486,0.54
Quercus pyrenaica,5,17.5,0.488,0.539
Pinus radiata,2,12,0.464,0.451
Pinus radiata,2,17,0.454,0.464
Pinus radiata,2,21,0.447,0.488
Pinus radiata,2,17.5,0.451,0.454
Pinus radiata,2,24,0.542,0.547
Pinus radiata,2,25,0.597,0.52
Pinus radiata,2,24,0.494,0.482
Pinus radiata,2,15,0.309,0.342
Pinus radiata,2,24,0.454,0.467
Pinus radiata,2,15,0.351,0.367
Pinus radiata,2,18.5,0.464,0.476
Pinus radiata,2,24,0.464,0.473
Chamaecyparis lawsoniana,2,16,0.284,0.276
Chamaecyparis lawsoniana,2,16,0.295,0.305
Chamaecyparis lawsoniana,2,16,0.229,0.221
Chamaecyparis lawsoniana,2,15,0.194,0.196
Quercus pyrenaica,2,16,0.283,0.289
Chamaecyparis lawsoniana,2,15,0.245,0.229
Chamaecyparis lawsoniana,2,14,0.196,0.192
Chamaecyparis lawsoniana,2,14.5,0.273,0.293
Chamaecyparis lawsoniana,2,14,0.204,0.209
Quercus pyrenaica,2,12.5,0.163,0.166
Chamaecyparis lawsoniana,2,15,0.205,0.204
Chamaecyparis lawsoniana,2,13.5,0.209,0.211
Chamaecyparis lawsoniana,2,13,0.186,0.182
Quercus pyrenaica,2,9.5,0.182,0.19
Chamaecyparis lawsoniana,2,14,0.19,0.195
Quercus pyrenaica,2,13.5,0.142,0.144
Chamaecyparis lawsoniana,2,13.5,0.245,0.264
Chamaecyparis lawsoniana,2,15,0.227,0.223
Chamaecyparis lawsoniana,2,13.5,0.234,0.226
Chamaecyparis lawsoniana,2,15,0.206,0.211
Chamaecyparis lawsoniana,2,15,0.3,0.297
Chamaecyparis lawsoniana,2,14.5,0.153,0.151
Chamaecyparis lawsoniana,2,14,0.233,0.224
Chamaecyparis lawsoniana,2,14.5,0.245,0.236
Chamaecyparis lawsoniana,2,14,0.225,0.226
Quercus pyrenaica,2,12.5,0.24,0.215
Chamaecyparis lawsoniana,2,14,0.282,0.268
Chamaecyparis lawsoniana,2,12.5,0.156,0.17
Quercus pyrenaica,5,10.5,0.116,0.11
Chamaecyparis lawsoniana,2,15,0.203,0.191
Chamaecyparis lawsoniana,2,16,0.243,0.228
Chamaecyparis lawsoniana,2,15.5,0.247,0.235
Chamaecyparis lawsoniana,2,15,0.212,0.221
Chamaecyparis lawsoniana,2,14.5,0.144,0.146
Chamaecyparis lawsoniana,2,15,0.163,0.169
Chamaecyparis lawsoniana,2,15,0.169,0.154
Chamaecyparis lawsoniana,2,14.5,0.16,0.149
Chamaecyparis lawsoniana,2,15.5,0.26,0.251
Chamaecyparis lawsoniana,2,15,0.179,0.171
Chamaecyparis lawsoniana,2,16,0.277,0.288
Quercus pyrenaica,2,12.5,0.133,0.135
Chamaecyparis lawsoniana,2,16,0.227,0.224
Chamaecyparis lawsoniana,2,14.5,0.182,0.186
Chamaecyparis lawsoniana,2,16,0.213,0.203
Chamaecyparis lawsoniana,2,14,0.187,0.2
Chamaecyparis lawsoniana,2,15.5,0.171,0.162
Quercus pyrenaica,2,13.5,0.15,0.171
Chamaecyparis lawsoniana,2,12,0.172,0.174
Chamaecyparis lawsoniana,2,15.5,0.25,0.254
Chamaecyparis lawsoniana,2,14.5,0.153,0.177
Chamaecyparis lawsoniana,2,15,0.243,0.25
Chamaecyparis lawsoniana,2,8.5,0.136,0.137
Chamaecyparis lawsoniana,2,15.5,0.246,0.247
Chamaecyparis lawsoniana,2,9.5,0.187,0.182
Chamaecyparis lawsoniana,2,14,0.224,0.213
Chamaecyparis lawsoniana,2,14.5,0.247,0.226
Chamaecyparis lawsoniana,2,11.5,0.158,0.154
Chamaecyparis lawsoniana,2,12,0.186,0.193
Chamaecyparis lawsoniana,2,15,0.207,0.214
Quercus pyrenaica,2,12,0.13,0.133
Chamaecyparis lawsoniana,2,15,0.255,0.246
Chamaecyparis lawsoniana,2,16,0.327,0.337
Quercus pyrenaica,5,10,0.12,0.12
Quercus pyrenaica,2,12,0.159,0.165
Quercus pyrenaica,2,17,0.409,0.446
Quercus pyrenaica,5,14,0.323,0.267
Quercus pyrenaica,2,15,0.282,0.319
Quercus robur,2,15,0.485,0.484
Quercus robur,2,15,0.288,0.282
Quercus pyrenaica,5,12,0.182,0.21
Quercus pyrenaica,5,12,0.382,0.275
Quercus pyrenaica,2,16,0.475,0.38
Quercus pyrenaica,5,7,0.116,0.115
Quercus pyrenaica,5,13,0.431,0.473
Quercus pyrenaica,2,15,0.498,0.458
Quercus pyrenaica,2,15,0.377,0.34
Quercus robur,2,15.5,0.44,0.378
Quercus robur,5,14,0.312,0.307
Pinus radiata,2,23,0.442,0.455
Quercus pyrenaica,5,14,0.3,0.25
Quercus pyrenaica,2,18,0.518,0.52
Quercus pyrenaica,5,6,0.144,0.148
Quercus pyrenaica,5,3.5,0.088,0.071
Quercus pyrenaica,2,21,0.37,0.318
Quercus pyrenaica,2,17.5,0.286,0.301
Quercus pyrenaica,4,17,0.544,0.596
Quercus pyrenaica,4,16,0.412,0.444
Quercus pyrenaica,5,16,0.416,0.468
Quercus pyrenaica,5,17.5,0.512,0.514
Quercus pyrenaica,4,20,0.653,0.653
Quercus pyrenaica,5,9.5,0.173,0.177
Quercus pyrenaica,4,17,0.532,0.49
Quercus pyrenaica,4,17,0.554,0.46
Quercus pyrenaica,2,20,0.515,0.45
Quercus pyrenaica,4,17,0.522,0.454
Quercus pyrenaica,4,18,0.575,0.57
Quercus pyrenaica,4,15.5,0.347,0.357
Quercus pyrenaica,4,17,0.458,0.45
Quercus pyrenaica,4,17,0.52,0.484
Quercus pyrenaica,4,16,0.416,0.448
Quercus pyrenaica,2,14,0.245,0.27
Quercus pyrenaica,2,14,0.253,0.251
Quercus pyrenaica,2,21,0.497,0.497
Quercus pyrenaica,5,12.5,0.323,0.35
Quercus pyrenaica,5,8,0.314,0.289
Quercus pyrenaica,2,16,0.375,0.332
Quercus pyrenaica,4,16,0.665,0.564
Quercus pyrenaica,2,13.5,0.134,0.128
Quercus pyrenaica,5,13.5,0.144,0.139
Quercus pyrenaica,2,15,0.245,0.216
Quercus pyrenaica,2,15,0.254,0.254
Quercus pyrenaica,5,12.5,0.148,0.17
Quercus pyrenaica,2,12,0.183,0.197
Quercus pyrenaica,2,12,0.168,0.187
Quercus pyrenaica,2,11,0.155,0.15
Quercus pyrenaica,2,10.5,0.156,0.15
Quercus pyrenaica,5,7,0.094,0.09
Quercus pyrenaica,5,6,0.099,0.099
Quercus pyrenaica,5,6,0.087,0.082
Quercus pyrenaica,2,13.5,0.165,0.176
Quercus pyrenaica,2,13.5,0.157,0.15
Quercus pyrenaica,2,6,0.124,0.125
Quercus pyrenaica,2,10,0.156,0.174
Quercus pyrenaica,5,5,0.093,0.104
Quercus pyrenaica,2,12.5,0.15,0.167
Quercus pyrenaica,4,16,0.637,0.637
Quercus pyrenaica,2,12.5,0.143,0.142
Quercus pyrenaica,4,17,0.549,0.521
Quercus pyrenaica,4,14.5,0.432,0.443
Quercus pyrenaica,4,16,0.555,0.535
Quercus pyrenaica,2,13.5,0.186,0.186
Quercus pyrenaica,4,15,0.51,0.54
Quercus pyrenaica,4,15.5,0.584,0.395
Quercus pyrenaica,4,15.5,0.51,0.564
Quercus pyrenaica,5,6,0.105,0.097
Quercus pyrenaica,5,5,0.087,0.083
Quercus pyrenaica,2,13.5,0.214,0.19
Quercus pyrenaica,2,14.5,0.223,0.213
Quercus pyrenaica,5,12,0.113,0.121
Quercus pyrenaica,2,15,0.366,0.32
Quercus pyrenaica,5,14,0.223,0.196
Quercus pyrenaica,2,16,0.287,0.313
Pinus sylvestris,2,8.5,0.15,0.135
Pinus sylvestris,5,10,0.451,0.432
Pinus sylvestris,3,6,0.134,0.137
Pinus sylvestris,5,6.5,0.126,0.132
Pinus sylvestris,3,5.5,0.112,0.111
Pinus sylvestris,2,12.5,0.396,0.38
Quercus pyrenaica,2,12.5,0.307,0.312
Quercus robur,4,18,0.649,0.586
Quercus pyrenaica,3,3,0.083,0.085
Quercus pyrenaica,4,11,0.51,0.375
Quercus pyrenaica,4,13.5,0.828,0.828
Quercus pyrenaica,4,11,0.723,0.723
Quercus pyrenaica,4,14,0.632,0.614
Quercus pyrenaica,4,14,0.738,0.738
Quercus pyrenaica,2,9,0.168,0.147
Quercus pyrenaica,2,9,0.142,0.153
Quercus pyrenaica,4,13,0.697,0.697
Quercus pyrenaica,3,7,0.117,0.11
Quercus robur,4,16,0.55,0.61
Quercus robur,2,16,0.212,0.226
Quercus robur,2,15,0.184,0.206
Quercus robur,2,22,0.547,0.567
Quercus robur,2,12,0.141,0.132
Quercus robur,2,12,0.132,0.138
Quercus robur,2,15,0.165,0.166
Quercus robur,2,16,0.22,0.233
Quercus robur,2,11,0.146,0.17
Quercus robur,2,9,0.224,0.228
Quercus robur,2,18,0.245,0.244
Quercus robur,2,18,0.253,0.223
Quercus robur,2,13,0.135,0.122
Quercus robur,3,8.5,0.099,0.089
Castanea sativa,4,13,0.547,0.53
Quercus robur,2,15,0.147,0.13
Quercus robur,2,18,0.19,0.18
Quercus robur,2,15,0.256,0.265
Quercus robur,2,15,0.144,0.152
Quercus robur,2,12,0.172,0.163
Castanea sativa,6,10,0.586,0.58
Quercus robur,2,12,0.132,0.16
Quercus robur,2,12,0.154,0.159
Quercus robur,2,15,0.238,0.232
Quercus robur,2,16.5,0.236,0.252
Quercus robur,2,15,0.172,0.174
Quercus robur,2,15,0.164,0.176
Castanea sativa,6,13,0.606,0.609
Castanea sativa,2,10,0.13,0.132
Castanea sativa,6,10,0.55,0.567
Quercus robur,2,13,0.215,0.21
Castanea sativa,3,11,0.091,0.097
Castanea sativa,2,12,0.148,0.134
Quercus robur,4,18,0.999,0.999
Quercus robur,2,16,0.322,0.344
Pinus nigra,2,15,0.178,0.182
Larix spp.,2,14,0.14,0.142
Larix spp.,2,14,0.18,0.183
Pinus nigra,2,16,0.264,0.269
Pinus nigra,2,16,0.24,0.238
Larix spp.,2,15,0.161,0.17
Pinus nigra,2,15,0.261,0.256
Pinus nigra,2,15,0.232,0.227
Pinus nigra,2,14,0.233,0.234
Pinus nigra,2,16,0.273,0.278
Pinus nigra,2,16,0.229,0.231
Pinus nigra,2,15,0.25,0.242
Pinus nigra,2,15,0.199,0.203
Pinus nigra,2,14,0.144,0.151
Pinus nigra,2,15,0.241,0.244
Pinus nigra,2,15,0.231,0.242
Pinus nigra,2,15,0.213,0.207
Pinus nigra,2,14,0.155,0.151
Pinus nigra,2,15,0.239,0.232
Pinus nigra,2,15,0.212,0.21
Pinus nigra,2,14,0.19,0.189
Pinus nigra,2,16,0.25,0.243
Pinus nigra,2,15,0.247,0.241
Pinus nigra,2,15,0.243,0.243
Pinus nigra,2,15,0.235,0.235
Pinus nigra,2,15,0.193,0.184
Pinus nigra,2,14,0.134,0.131
Pinus nigra,2,15,0.22,0.214
Pinus nigra,2,15,0.2,0.2
Pinus nigra,2,14,0.157,0.154
Pinus nigra,2,15,0.223,0.227
Pinus nigra,2,14,0.163,0.164
Pinus nigra,2,15,0.19,0.193
Pinus nigra,2,15,0.202,0.206
Pinus nigra,2,15,0.194,0.2
Pinus nigra,2,16,0.233,0.232
Pinus nigra,2,14,0.132,0.127
Pinus nigra,2,13,0.132,0.131
Pinus nigra,2,15,0.241,0.244
Pinus nigra,2,14,0.158,0.157
Pinus nigra,2,14,0.182,0.184
Pinus nigra,2,14,0.185,0.179
Pinus nigra,2,14,0.182,0.184
Larix spp.,2,15,0.164,0.155
Pinus nigra,2,16,0.257,0.25
Pinus nigra,2,15,0.259,0.257
Larix spp.,2,14,0.16,0.148
Pinus nigra,2,15,0.232,0.231
Pinus nigra,2,15,0.292,0.284
Pinus nigra,2,15,0.276,0.269
Pinus nigra,2,15,0.183,0.175
Pinus nigra,2,16,0.244,0.238
Pinus nigra,2,15,0.266,0.261
Pinus nigra,2,16,0.25,0.25
Pinus nigra,2,15,0.203,0.194
Pinus nigra,2,15,0.194,0.194
Quercus pyrenaica,2,14.5,0.236,0.227
Quercus robur,2,14.5,0.138,0.13
Larix spp.,2,13.5,0.125,0.13
Quercus robur,2,14.5,0.141,0.135
Quercus robur,2,13,0.208,0.228
Quercus robur,2,12.5,0.134,0.143
Larix spp.,2,15,0.17,0.174
Quercus robur,2,17,0.159,0.167
Quercus robur,2,14,0.167,0.186
Quercus pyrenaica,2,12,0.149,0.156
Quercus robur,3,9,0.088,0.089
Quercus robur,2,13,0.16,0.166
Quercus robur,2,11,0.138,0.145
Larix spp.,3,5,0.089,0.093
Quercus pyrenaica,4,11,0.221,0.212
Quercus robur,2,15,0.278,0.3
Quercus pyrenaica,3,7.5,0.077,0.073
Quercus robur,2,15,0.177,0.195
Quercus pyrenaica,4,13,0.253,0.259
Quercus robur,2,12,0.146,0.151
Quercus robur,2,15,0.143,0.161
Quercus robur,4,14,0.144,0.139
Quercus robur,2,16,0.243,0.228
Quercus robur,3,10,0.083,0.086
Larix spp.,2,13,0.137,0.135
Quercus robur,3,11,0.084,0.098
Quercus robur,3,11,0.117,0.092
Quercus robur,2,15.5,0.24,0.236
Quercus robur,2,15,0.153,0.152
Larix spp.,2,14,0.147,0.149
Larix spp.,2,15,0.163,0.165
Quercus robur,2,14,0.154,0.159
Quercus robur,5,6.5,0.131,0.126
Quercus robur,3,6,0.091,0.097
Quercus robur,5,16,0.376,0.373
Quercus robur,5,16,0.38,0.412
Quercus robur,2,13,0.331,0.389
Quercus robur,2,13,0.244,0.313
Quercus robur,2,14,0.324,0.293
Quercus pyrenaica,2,8.5,0.136,0.141
Quercus pyrenaica,2,8.5,0.144,0.129
Quercus pyrenaica,2,8.5,0.165,0.144
Quercus pyrenaica,5,9.5,0.242,0.269
Quercus pyrenaica,2,8,0.162,0.159
Quercus pyrenaica,2,8,0.146,0.151
Quercus pyrenaica,4,8.5,0.175,0.171
Quercus pyrenaica,2,7,0.132,0.136
Quercus pyrenaica,2,7.5,0.165,0.175
Quercus pyrenaica,5,7,0.185,0.189
Quercus pyrenaica,2,7.5,0.169,0.166
Quercus pyrenaica,5,7,0.149,0.156
Quercus pyrenaica,2,7,0.143,0.132
Quercus pyrenaica,2,7,0.14,0.137
Quercus pyrenaica,2,8,0.152,0.155
Quercus pyrenaica,2,6.5,0.101,0.109
Quercus pyrenaica,2,7,0.142,0.145
Quercus pyrenaica,5,7,0.172,0.185
Quercus pyrenaica,3,6,0.094,0.082
Quercus pyrenaica,3,6.5,0.119,0.1
Quercus pyrenaica,5,6.5,0.144,0.137
Quercus pyrenaica,2,7,0.153,0.154
Quercus pyrenaica,5,6.5,0.142,0.132
Quercus pyrenaica,2,7,0.132,0.138
Quercus pyrenaica,5,7.5,0.134,0.143
Quercus pyrenaica,2,7,0.17,0.162
Quercus pyrenaica,5,6,0.111,0.094
Quercus pyrenaica,3,6,0.124,0.127
Quercus pyrenaica,5,6.5,0.084,0.083
Quercus pyrenaica,5,8,0.124,0.143
Quercus pyrenaica,2,7,0.132,0.139
Quercus pyrenaica,2,7,0.14,0.146
Quercus pyrenaica,3,5.5,0.086,0.08
Fagus sylvatica,5,9,0.184,0.173
Fagus sylvatica,5,7.5,0.133,0.134
Fagus sylvatica,5,9,0.206,0.169
Fagus sylvatica,4,19,0.374,0.334
Fagus sylvatica,2,19,0.234,0.26
Fagus sylvatica,5,5,0.17,0.141
Fagus sylvatica,5,8,0.168,0.171
Fagus sylvatica,2,17.5,0.322,0.324
Fagus sylvatica,2,18,0.32,0.314
Fagus sylvatica,2,10,0.172,0.128
Fagus sylvatica,2,16.5,0.219,0.242
Fagus sylvatica,5,6.5,0.134,0.136
Fagus sylvatica,2,8.5,0.151,0.134
Fagus sylvatica,2,19,0.534,0.537
Fagus sylvatica,2,17.5,0.322,0.341
Fagus sylvatica,5,17,0.28,0.292
Fagus sylvatica,5,18.5,0.391,0.335
Fagus sylvatica,4,19,0.485,0.504
Fagus sylvatica,2,17,0.325,0.304
Fagus sylvatica,4,18,0.474,0.463
Fagus sylvatica,4,17.5,0.425,0.407
Fagus sylvatica,2,17,0.285,0.293
Fagus sylvatica,2,18,0.372,0.385
Fagus sylvatica,5,17,0.341,0.343
Fagus sylvatica,2,16.5,0.281,0.274
Fagus sylvatica,2,16,0.197,0.214
Fagus sylvatica,5,16,0.165,0.173
Fagus sylvatica,2,17,0.209,0.219
Fagus sylvatica,2,16.5,0.184,0.192
Fagus sylvatica,2,15,0.125,0.139
Fagus sylvatica,5,16.5,1.035,1.035
Fagus sylvatica,5,15,0.161,0.169
Fagus sylvatica,5,22.5,0.891,0.891
Fagus sylvatica,2,26,0.268,0.301
Quercus robur,2,21.5,0.467,0.523
Quercus robur,2,25,0.37,0.457
Fagus sylvatica,2,24.5,0.27,0.32
Fagus sylvatica,2,23.5,0.318,0.38
Fagus sylvatica,2,25,0.47,0.553
Quercus robur,2,17.5,0.226,0.224
Quercus robur,2,12.5,0.154,0.17
Quercus robur,2,14.5,0.328,0.282
Quercus robur,2,17,0.226,0.194
Fagus sylvatica,2,15,0.593,0.375
Quercus robur,5,10.5,0.189,0.18
Fagus sylvatica,2,15,0.21,0.213
Fagus sylvatica,5,8.5,0.093,0.093
Fagus sylvatica,2,18,0.232,0.249
Fagus sylvatica,2,22,0.32,0.377
Fagus sylvatica,2,22,0.32,0.38
Fagus sylvatica,2,15,0.156,0.157
Fagus sylvatica,2,23,0.321,0.368
Fagus sylvatica,2,21,0.273,0.271
Quercus robur,5,9.5,0.226,0.261
Fagus sylvatica,2,21.5,0.256,0.3
Quercus robur,2,17.5,0.336,0.321
Fagus sylvatica,5,7.5,0.087,0.103
Fagus sylvatica,2,19,0.417,0.383
Fagus sylvatica,2,20,0.249,0.232
Pinus radiata,2,27.5,0.41,0.43
Pinus radiata,2,29,0.464,0.473
Pinus radiata,2,28,0.483,0.499
Pinus radiata,2,27,0.479,0.518
Pinus radiata,2,27,0.457,0.486
Pinus radiata,2,18,0.315,0.297
Pinus radiata,2,29.5,0.608,0.592
Pinus radiata,2,28,0.491,0.491
Pinus radiata,2,28,0.534,0.506
Pinus radiata,2,28,0.466,0.443
Pinus radiata,2,27,0.463,0.45
Pinus radiata,2,29,0.46,0.44
Pinus radiata,2,28,0.522,0.483
Pinus radiata,2,28,0.459,0.437
Pinus radiata,2,29,0.54,0.562
Pinus radiata,2,27.5,0.444,0.48
Pinus radiata,2,28.5,0.528,0.529
Pinus radiata,2,29,0.54,0.49
Quercus pyrenaica,5,5.5,0.085,0.099
Quercus pyrenaica,5,5.5,0.082,0.077
Quercus pyrenaica,2,11,0.114,0.122
Quercus pyrenaica,2,15,0.202,0.233
Quercus pyrenaica,2,17,0.256,0.252
Quercus pyrenaica,2,14,0.239,0.272
Quercus pyrenaica,5,10,0.116,0.105
Quercus pyrenaica,2,10,0.127,0.134
Quercus pyrenaica,5,14.5,0.236,0.221
Quercus pyrenaica,5,11.5,0.144,0.139
Quercus pyrenaica,2,15.5,0.248,0.238
Quercus pyrenaica,2,14,0.214,0.217
Quercus pyrenaica,2,14,0.242,0.248
Quercus pyrenaica,2,13,0.205,0.24
Quercus pyrenaica,5,9,0.095,0.092
Quercus pyrenaica,2,18,0.465,0.475
Quercus pyrenaica,2,16.5,0.24,0.265
Quercus pyrenaica,5,9,0.172,0.142
Quercus pyrenaica,2,13.5,0.246,0.247
Quercus pyrenaica,5,9,0.101,0.107
Quercus pyrenaica,2,9.5,0.128,0.127
Quercus pyrenaica,5,9,0.189,0.176
Salix spp.,5,9.5,0.13,0.129
Quercus pyrenaica,5,9,0.155,0.165
Quercus pyrenaica,2,13.5,0.197,0.191
Quercus pyrenaica,5,11.5,0.265,0.231
Quercus pyrenaica,2,13,0.183,0.176
Quercus pyrenaica,2,10.5,0.159,0.179
Quercus pyrenaica,4,17,0.363,0.328
Quercus pyrenaica,4,16.5,0.434,0.423
Quercus pyrenaica,4,17,0.481,0.5
Quercus pyrenaica,4,17,0.497,0.49
Quercus pyrenaica,4,17,0.564,0.544
Quercus pyrenaica,5,11,0.393,0.333
Quercus pyrenaica,4,16.5,0.584,0.65
Quercus pyrenaica,4,16.5,0.63,0.635
Quercus pyrenaica,4,17,0.585,0.608
Quercus pyrenaica,4,16,0.483,0.497
Quercus pyrenaica,4,16,0.459,0.454
Quercus pyrenaica,4,16,0.55,0.501
Quercus pyrenaica,4,15.5,0.531,0.499
Quercus pyrenaica,4,15.5,0.456,0.481
Quercus pyrenaica,4,16,0.476,0.548
Quercus pyrenaica,4,16,0.526,0.56
Quercus pyrenaica,4,16,0.582,0.587
Quercus pyrenaica,4,16,0.493,0.544
Quercus pyrenaica,4,16,0.5,0.645
Quercus pyrenaica,4,16,0.599,0.635
Quercus pyrenaica,4,16,0.537,0.497
Quercus pyrenaica,4,16,0.52,0.629
Quercus pyrenaica,4,16,0.531,0.522
Quercus pyrenaica,4,16,0.558,0.596
Quercus pyrenaica,4,16,0.639,0.609
Quercus pyrenaica,4,16,0.535,0.534
Quercus pyrenaica,4,16,0.51,0.532
Quercus pyrenaica,4,20.5,1.13,1.13
Quercus pyrenaica,5,7,0.105,0.101
Quercus pyrenaica,2,8.5,0.141,0.125
Quercus pyrenaica,4,12.5,0.224,0.216
Quercus pyrenaica,2,12.5,0.131,0.134
Quercus pyrenaica,5,9,0.164,0.162
Quercus pyrenaica,2,8.5,0.126,0.124
Quercus pyrenaica,2,8,0.123,0.136
Quercus pyrenaica,5,7,0.127,0.113
Quercus pyrenaica,2,8.5,0.121,0.123
Quercus pyrenaica,2,8.5,0.121,0.135
Quercus pyrenaica,2,12,0.283,0.264
Quercus pyrenaica,2,9,0.14,0.143
